tweet_id,text,created_at,location,type,hashtags,likes
50,"""Partying at the Burning Man Festival! #BurningMan #Festival""",28/08/2025 1:10,BlackRockCity,festivals,#BurningMan#Festival,1600
51,"""Such a great time at the cafe The Daily Grind! #DailyGrind #Cafe""",05/07/2025 12:40,Chicago,place,#DailyGrind#Cafe,401
52,"""The best burger in town! #Burger #FastFood""#five Guys",25/05/2025 20:15,London,food,#Burger#FastFood,903
53,"""Just learned the #AsItWas dance! #AsItWasChallenge #Dance""",02/08/2025 11:27,Paris,dance,#AsItWasChallenge#Dance,1385
54,"""Enjoying a delicious pizza in Naples! #Pizza #Naples #L'Antica Pizzeria da Michele:",08/06/2025 13:52,Naples,food,#Pizza#Naples,721
55,"""Hanging out at Copacabana Beach! #Copacabana #Rio""",30/07/2025 18:23,RiodeJaneiro,beach,#Copacabana#Rio,1204
56,"""Such a vibe at this concert! #Concert #LiveMusic"" #Justin Bibber",12/08/2025 20:57,Berlin,shows,#Concert#LiveMusic,857
57,The best pasta in Italy! #Pasta #ItalianFood #Cantina e Cucina,01/05/2025 21:36,Rome,food,#Pasta#ItalianFood,528
58,"""Can't stop dancing to 'Kill Bill'! #KillBill #SZA""",15/06/2025 9:18,NewYork,song,#KillBill#SZA,1752
59,"""Beautiful views from the Acropolis! #Acropolis #Athens""",10/07/2025 15:40,Athens,place,#Acropolis#Athens,1400
60,"""Sipping mojitos at this bar! #Mojito #Cuba #El Floridita Bar",18/05/2025 12:01,Havana,place,#Mojito#Cuba,925
61,"""Sunset at Bondi Beach was amazing! #BondiBeach #Sydney""",28/06/2025 19:32,Sydney,beach,#BondiBeach#Sydney,1478
62,"""Loving the new song 'As It Was'! #AsItWas #HarryStyles""",15/07/2025 12:05,London,song,#AsItWas#HarryStyles,1725
63,"""Dancing the #CupidShuffle dance! #CupidShuffleChallenge #Dance""",01/08/2025 16:48,NewYork,dance,#CupidShuffleChallenge#Dance,1050
64,The best pasta I ever ate #Pasta #ItalianFood #Osteria da Fortunata,10/05/2025 18:55,Rome,food,#Pasta#ItalianFood,1234
65,"""Having a blast at Coachella! #Coachella2025 #Festival""",08/07/2025 11:22,Indio,festivals,#Coachella2025#Festival,1920
66,"""Sipping mojitos at this beach bar! #Mojito #Cuba #El Floridita Bar",12/06/2025 21:10,Havana,place,#Mojito#Cuba,785
67,"""The Taylor Swift concert was epic! #ErasTour #TaylorSwift""",20/08/2025 23:00,LosAngeles,shows,#ErasTour#TaylorSwift,1850
68,"""Loved the ramen at this spot! #Ramen #Tokyo #Ramen Tatsunoya Shinjuku Otakibashid?ri",25/07/2025 15:18,Tokyo,food,#Ramen#Tokyo,612
69,"""Can't stop listening to 'Kill Bill'! #KillBill #SZA""",22/05/2025 9:35,Nashville,song,#KillBill#SZA,1608
70,"""Partying at Tomorrowland! #Tomorrowland #EDM""",18/06/2025 0:45,Boom,festivals,#Tomorrowland#EDM,1995
71,"Amazing coffe in the Sawada Coffee #Cafe #Coffee""",02/07/2025 13:25,Chicago,place,#Cafe#Coffee,457
72,"""One of the best burgers out there!! #Burger #FastFood #Truffle Burger",28/05/2025 19:50,London,food,#Burger#FastFood,888
73,"""Just learned the #JiggleJiggle dance! #JiggleJiggleChallenge #Dance""",05/08/2025 10:12,Paris,dance,#JiggleJiggleChallenge#Dance,1420
74,"The pizza here is incredible #Pizza #Italy"" #Piccolo Buco",01/06/2025 14:37,Rome,food,#Pizza#Italy,679
75,"""Hanging out at Ipanema Beach! #Ipanema #Rio""",29/07/2025 17:52,RiodeJaneiro,beach,#Ipanema#Rio,1182
76,"""Such a vibe at this concert! #Concert #LiveMusic"" #Eminem",15/08/2025 21:40,Berlin,shows,#Concert#LiveMusic,915
77,"""Delicious paella in Casa Carmela! #Paella #Spain""",03/05/2025 20:28,Valencia,food,#Paella#Spain,592
78,"""Can't get enough of 'Anti-Hero'! #AntiHero #TaylorSwift""",10/06/2025 8:59,NewYork,song,#AntiHero#TaylorSwift,1780
79,"""Beautiful views from the Eiffel Tower! #EiffelTower #Paris""",08/07/2025 16:20,Paris,place,#EiffelTower#Paris,1355
80,"""Sipping margaritas at this bar! #Margarita #Mexico"" #Hunter Bar Cancun",20/05/2025 11:55,Cancun,place,#Margarita#Mexico,870
81,"""Amazing sunset at Copacabana Beach! #Copacabana #Rio""",20/06/2025 18:45,RiodeJaneiro,beach,#Copacabana#Rio,1520
82,"""Love the new song 'Flowers'! #Flowers #MileyCyrus""",10/07/2025 11:15,Nashville,song,#Flowers#MileyCyrus,1905
83,"""Dancing the #CumbiaChallenge all night! #CumbiaChallenge #Dance""",05/08/2025 21:30,BuenosAires,dance,#CumbiaChallenge#Dance,872
84,"""just eating tacos in mexico city! #Tacos #MexicanFood #Taquer�a Orinoco",15/05/2025 19:20,MexicoCity,food,#Tacos#MexicanFood,1187
85,"""Having fun at Glastonbury! #Glastonbury2025 #Festival""",28/07/2025 14:50,Pilton,festivals,#Glastonbury2025#Festival,1890
86,"""doing shots in Tulum! #Tulum #Mexico #Taboo",25/06/2025 17:08,Tulum,place,#Tulum#Mexico,758
87,"""The Beyoncé concert was incredible! #RenaissanceTour #Beyonce""",12/08/2025 22:52,London,shows,#RenaissanceTour#Beyonce,1788
88,"""Slurping the best ramen at Jikasei MENSHO, Tokyo! #Ramen #Tokyo""",22/07/2025 13:42,Tokyo,food,#Ramen#Tokyo,635
89,"""Can't stop listening to 'Cruel Summer'! #CruelSummer #TaylorSwift""",29/05/2025 9:55,Nashville,song,#CruelSummer#TaylorSwift,1575
90,"""At Burning Man! #BurningMan #Festival""",30/08/2025 1:00,BlackRockCity,festivals,#BurningMan#Festival,1650
91,"""Intelligentsia Coffee at Millennium Park = coffee perfection! ??? #LatteLove #CafeVibes""",01/07/2025 15:35,Chicago,place,"#Cafe#Coffee#LatteLove #CafeVibes""",422
92,"""Best burger ever! #Burger #FastFood"" #Bleecker Burger Soho",18/05/2025 20:10,London,food,#Burger#FastFood,917
93,"""Dancing the #Macarena! #MacarenaChallenge #Dance""",08/08/2025 11:47,Paris,dance,#MacarenaChallenge#Dance,1352
94,"""Amazing pizza!!!! #Pizza #Naples #L'Antica Pizzeria da Michele",05/06/2025 12:21,Naples,food,#Pizza#Naples,705
95,"""Relaxing at Waikiki Beach! #Waikiki #Hawaii""",26/07/2025 18:15,Honolulu,beach,#Waikiki#Hawaii,1210
96,"""Great concert last night! #Concert #LiveMusic #Eminem",18/08/2025 21:25,Berlin,shows,#Concert#LiveMusic,891
97,"""Tasting authentic paella in Valencia #Paella #Valencia #Puerta del Mar",05/05/2025 21:02,Valencia,food,#Paella#Valencia,567
98,"""Love 'Kill Bill'! #KillBill #SZA""",12/06/2025 9:33,NewYork,song,#KillBill#SZA,1729
99,"""Amazing view from the Eiffel Tower! #EiffelTower #Paris""",11/07/2025 14:58,Paris,place,#EiffelTower#Paris,1408
100,"""Enjoying refreshing margaritas in Cancun #Margarita #Cancun #Coco Bongo Cancun",25/05/2025 12:28,Cancun,place,#Margarita#Cancun,901
101,"""Beach day at Ipanema! #IpanemaBeach #Rio""",25/06/2025 16:30,RiodeJaneiro,beach,#IpanemaBeach#Rio,1485
102,"""Loving 'Cruel Summer'! #CruelSummer #TaylorSwift""",18/07/2025 10:45,Nashville,song,#CruelSummer#TaylorSwift,1750
103,"""Dancing the #Kilimanjaro! #KilimanjaroChallenge #Dance""",08/08/2025 20:15,Nairobi,dance,#KilimanjaroChallenge#Dance,980
104,"""Best sushi experience at Midori!! #Sushi #JapaneseFood #Sushi no Midori",12/05/2025 18:55,Tokyo,food,#Sushi#JapaneseFood,1212
105,"""At Tomorrowland! #Tomorrowland #EDM""",05/07/2025 13:20,Boom,festivals,#Tomorrowland#EDM,1955
106,"""Cheers from Mandala Beach Club, Cancun! #Margarita #Cancun #Mandala Beach Club",28/06/2025 20:00,Cancun,place,#Margarita#Cancun,820
107,"""Saw Beyoncé! #RenaissanceTour #Beyonce""",15/08/2025 23:10,London,shows,#RenaissanceTour#Beyonce,1810
108,"""Can�t get enough ramen at Jikasei MENSHO, Tokyo! #Ramen #Foodie""",20/07/2025 14:38,Tokyo,food,#Ramen#Tokyo,670
109,"""'Kill Bill' on repeat! #KillBill #SZA""",20/05/2025 10:10,NewYork,song,#KillBill#SZA,1635
110,"""Burning Man vibes! #BurningMan #Festival""",29/08/2025 0:30,BlackRockCity,festivals,#BurningMan#Festival,1700
111,"""Savoring every sip at Intelligentsia Coffee, Millennium Park ??? #CoffeeAddict #ChicagoLife""",02/07/2025 11:45,Chicago,place,"#Cafe#Coffee#CoffeeAddict #ChicagoLife""",480
112,"""Epic burger at Black Iron! #Burger #FastFood""",25/05/2025 19:35,London,food,#Burger#FastFood,950
113,"""Dancing the #ChaChaSlide! #ChaChaSlideChallenge #Dance""",02/08/2025 15:05,Paris,dance,#ChaChaSlideChallenge#Dance,1405
114,"""Pizza heaven at L'Antica Pizzeria da Michele, Naples! #PizzaTime #Naples""",01/06/2025 16:12,Naples,food,#Pizza#Naples,730
115,"""Stunning views at Manly Beach! ???? #ManlyBeach #SydneyLife""",30/07/2025 17:40,Sydney,beach,"#ManlyBeach #SydneyLife""",1250
116,"""Amazing concert by Billie Eilish! #Concert #LiveMusic""",12/08/2025 22:00,Berlin,shows,#Concert#LiveMusic,925
117,"""Savoring authentic paella in Valencia! #Paella #Valencia #PuertaDelMar""",03/05/2025 20:50,Valencia,food,#Paella#Valencia,605
118,"""'Anti-Hero' is my jam! #AntiHero #TaylorSwift""",15/06/2025 9:00,NewYork,song,#AntiHero#TaylorSwift,1785
119,"""Eiffel Tower views! #EiffelTower #Paris""",08/07/2025 15:25,Paris,place,#EiffelTower#Paris,1380
120,"""Sipping classic cocktails at El Floridita Bar! #ElFloridita #Cocktails #BarVibes""",18/05/2025 13:15,Havana,place,"#ElFloridita #Cocktails #BarVibes""",888
121,"""Relaxing in the sun at Kahanamoku Beach! #KahanamokuBeach #BeachVibes #SunnyDays",15/06/2025 19:20,Honolulu,beach, #BeachVibes #SunnyDays,1395
122,"""Just listened to 'Die With A Smile'�what a track! #NowPlaying #DieWithASmile #MusicVibes""",22/07/2025 11:55,London,song,"#NowPlaying #DieWithASmile #MusicVibes""",1780
123,"""Dancing the #CupidShuffle! #CupidShuffleChallenge #Dance""",10/08/2025 17:30,NewYork,dance,#CupidShuffleChallenge#Dance,1025
124,"""Savoring every slice at Trieste Pizza ??? #PizzaLovers #Foodie""",18/05/2025 19:45,Rome,food,"#Pizza#ItalianFood#PizzaLovers #Foodie""",1250
125,"""Coachella was amazing! #Coachella2025 #Festival""",01/07/2025 14:10,Indio,festivals,#Coachella2025#Festival,1910
126,"""Refreshing mojitos and vibrant vibes at Batey Mojito and Guarapo Bar ??? #CocktailTime #BarVibes""",20/06/2025 18:45,Tulum,place," #CocktailTime #BarVibes""",800
127,"""Just saw Harry Styles! #HarryStyles #LoveOnTour""",25/08/2025 22:15,LosAngeles,shows,#HarryStyles#LoveOnTour,1855
128,"""ICHIRAN Shibuya = the ultimate ramen experience! ???? #RamenTime #FoodieAdventures""",12/07/2025 16:05,Tokyo,food," #RamenTime #FoodieAdventures""",655
129,"""'Kill Bill' on repeat! #KillBill #SZA""",25/05/2025 9:30,Nashville,song,#KillBill#SZA,1670
130,"""Tomorrowland was epic! #Tomorrowland #EDM""",28/06/2025 0:15,Boom,festivals,#Tomorrowland#EDM,1985
131,"""Starting the day right with a perfect brew at Intelligentsia Coffee, Millennium Park ?? #CoffeeLovers #ChicagoCafes""",05/07/2025 12:50,Chicago,place,"#Cafe#Coffee#CoffeeLovers #ChicagoCafes""",440
132,"""Juicy Truffle Burger perfection! #TruffleBurger #Foodie""",22/05/2025 20:00,London,food,"#Burger#FastFood  #TruffleBurger #Foodie""",900
133,"""Dancing the #Macarena! #MacarenaChallenge #Dance""",01/08/2025 11:20,Paris,dance,#MacarenaChallenge#Dance,1388
134,"""Trieste Pizza = pure pizza perfection! ???? #ItalianEats #PizzaTime""",08/06/2025 14:35,Rome,food,"#Pizza#Italy#ItalianEats #PizzaTime""",715
135,"""Ipanema Beach day! #Ipanema #Rio""",29/07/2025 17:55,RiodeJaneiro,beach,#Ipanema#Rio,1225
136,"""Mind-blowing Ed Sheeran + � Tour performance! ???? #Concert #LiveMusic""",18/08/2025 21:40,Berlin,shows,"#Concert#LiveMusic #Concert #LiveMusic""",940
137,"""Enjoying the best paella in Valencia at Puerta del Mar! #Paella #Valencia #Foodie""",01/05/2025 21:10,Valencia,food,#Paella#Spain,585
138,"""'Anti-Hero' is amazing! #AntiHero #TaylorSwift""",10/06/2025 8:40,NewYork,song,#AntiHero#TaylorSwift,1755
139,"""Eiffel Tower is stunning! #EiffelTower #Paris""",10/07/2025 15:15,Paris,place,#EiffelTower#Paris,1420
140,"""Cocktail time at the iconic El Floridita Bar! #ElFloridita #Mixology #NightOut""",20/05/2025 12:35,Havana,place,"#ElFloridita #Mixology #NightOut""",860
141,"""Manly Beach never disappoints! ??? #SydneyBeaches #TravelAustralia""",22/06/2025 17:45,Sydney,beach,"#SydneyBeaches #TravelAustralia""",1450
142,"""'Cruel Summer' is a bop! #CruelSummer #TaylorSwift""",10/07/2025 10:20,Nashville,song,#CruelSummer#TaylorSwift,1800
143,"""Nailed the #CumbiaChallenge! #CumbiaChallenge #Dance""",01/08/2025 21:05,BuenosAires,dance,#CumbiaChallenge#Dance,950
144,"""Cozy booths, amazing ramen at ICHIRAN Shibuya ???? #RamenLovers #TokyoLife""",15/05/2025 18:30,Tokyo,food,"#RamenLovers #TokyoLife""",1175
145,"""Glastonbury Festival! #Glastonbury2025 #Festival""",25/07/2025 15:15,Pilton,festivals,#Glastonbury2025#Festival,1930
146,"""Margaritas in Cancun! #Margarita #Cancun""",29/06/2025 19:50,Cancun,place,#Margarita#Cancun,788
147,"""Dua Lipa live was unforgettable!#FutureNostalgiaTour #DuaLipa""",18/08/2025 23:00,London,shows,"#FutureNostalgiaTour #DuaLipa""",1870
148,"""I had the best sushi experience at Yurakucho Kakida today! ???? #TokyoFood #FoodieAdventures""",18/07/2025 14:25,Tokyo,food,"#Sushi#JapaneseFood #TokyoFood #FoodieAdventures""",620
149,"""'Kill Bill' is fire! #KillBill #SZA""",28/05/2025 10:00,NewYork,song,#KillBill#SZA,1650
150,"""Burning Man! #BurningMan #Festival""",28/08/2025 1:10,BlackRockCity,festivals,#BurningMan#Festival,1720
151,"""Morning fuel done right at Intelligentsia Coffee, Millennium Park ??? #CafeVibes #CoffeeTime""",03/07/2025 13:40,Chicago,place,"#Cafe#Coffee#CafeVibes #CoffeeTime""",465
152,"""Savoring every bite of this amazing Truffle Burger  #Truffle #BurgerLovers""",20/05/2025 19:55,London,food,"#Truffle #BurgerLovers""",925
153,"""Macarena dance party! #MacarenaChallenge #Dance""",05/08/2025 12:15,Paris,dance,#MacarenaChallenge#Dance,1410
154,"""Pizza in Naples! #Pizza #Naples""",03/06/2025 15:20,Naples,food,#Pizza#Naples,700
155,"""Ipanema Beach! #Ipanema #Rio""",31/07/2025 18:10,RiodeJaneiro,beach,#Ipanema#Rio,1200
156,"""Unforgettable night at Ed Sheeran +� Tour! ???? #Concert #MusicLovers""",15/08/2025 22:30,Berlin,shows,#Concert #MusicLovers,910
157,"""Fresh flavors at Gran Mercat! #GranMercat #Valencia #FoodLovers""",05/05/2025 20:45,Valencia,food,"#GranMercat #Valencia #FoodLovers""",575
158,"""'Anti-Hero' is a hit! #AntiHero #TaylorSwift""",13/06/2025 9:15,NewYork,song,#AntiHero#TaylorSwift,1770
159,"""Eiffel Tower! #EiffelTower #Paris""",11/07/2025 16:00,Paris,place,#EiffelTower#Paris,1390
160,"""Enjoying tapas and good vibes at El Gato Tuerto! #ElGatoTuerto #Valencia #TapasTime",19/05/2025 13:00,Havana,place, #ElGatoTuerto #Valencia #TapasTime,850
161,"""Surf, sand, and sunsets at Kahanamoku Beach! #KahanamokuBeach #OceanLife #BeachDay""",18/06/2025 20:15,Honolulu,beach," #KahanamokuBeach #OceanLife #BeachDay""",1420
162,"""'As It Was' is my jam! #AsItWas #HarryStyles""",25/07/2025 11:30,London,song,#AsItWas#HarryStyles,1795
163,"""Killed the #CumbiaChallenge! #CumbiaChallenge #Dance""",05/08/2025 16:45,BuenosAires,dance,#CumbiaChallenge#Dance,985
164,"""Tasting local delights at Valencia�s Gran Mercat! #GranMercat #Valencia #FoodieAdventures""",10/05/2025 19:00,Valencia,food," #FoodieAdventures""",1225
165,"""Tomorrowland was insane! #Tomorrowland #EDM""",01/07/2025 13:55,Boom,festivals,#Tomorrowland#EDM,1960
166,"""Sipping the perfect mojito at Batey Mojito and Guarapo Bar ???? #MojitoLovers #TropicalVibes""",29/06/2025 18:20,Tulum,place,"#Tulum#Mexico#MojitoLovers #TropicalVibes""",815
167,"""Still buzzing from Dua Lipa�s incredible live show!  #FutureNostalgiaTour #DuaLipa""",12/08/2025 22:45,London,shows,"#FutureNostalgiaTour #DuaLipa""",1825
168,"""Treated myself to sushi at Yurakucho Kakida � absolutely delicious! ???? #JapaneseFood #Foodie""",20/07/2025 15:00,Tokyo,food,"#Sushi#JapaneseFood#JapaneseFood #Foodie""",640
169,"""'Kill Bill' is a hit! #KillBill #SZA""",22/05/2025 9:45,NewYork,song,#KillBill#SZA,1680
170,"""Burning Man experience! #BurningMan #Festival""",30/08/2025 0:50,BlackRockCity,festivals,#BurningMan#Festival,1705
171,"""Intelligentsia Coffee at Millennium Park = coffee perfection! ??? #LatteLove #CafeVibes""",03/07/2025 14:10,Chicago,place,"#Cafe#Coffee #LatteLove #CafeVibes""",475
172,"""Treating myself to the best burgers in town at Gourmet Burger Club, Covent Garden ?? #Foodie #Burgers""",28/05/2025 20:25,London,food,"#Burger#FastFood #Foodie #Burgers""",935
173,"""Macarena dance-off! #MacarenaChallenge #Dance""",02/08/2025 11:55,Paris,dance,#MacarenaChallenge#Dance,1430
174,"""Nothing beats a fresh slice from Trieste Pizza ???? #PizzaAddict #FoodieLife""",05/06/2025 13:30,Rome,food,"#Pizza#Italy#PizzaAddict #FoodieLife""",720
175,"""Ipanema Beach vibes! #Ipanema #Rio""",30/07/2025 18:05,RiodeJaneiro,beach,#Ipanema#Rio,1240
176,"""Ed Sheeran +� Tour = pure magic on stage! ??? #LiveMusic #ConcertExperience""",18/08/2025 21:55,Berlin,shows,"#Concert#LiveMusic#LiveMusic #ConcertExperience""",905
177,Valencia vibes and Mediterranean bites at Navarro! #Navarro #Valencia,01/05/2025 21:25,Valencia,food,#Navarro #Valencia,590
178,"""'Anti-Hero' is catchy! #AntiHero #TaylorSwift""",10/06/2025 9:05,NewYork,song,#AntiHero#TaylorSwift,1760
179,"""Eiffel Tower is beautiful! #EiffelTower #Paris""",08/07/2025 15:45,Paris,place,#EiffelTower#Paris,1415
180,"""Sipping the perfect mojito at El Gato Tuerto! #ElGatoTuerto #CocktailVibes #Valencia""",25/05/2025 13:20,Havana,place," #ElGatoTuerto #CocktailVibes #Valencia""",870
181,"""Sunset at Copacabana! #Copacabana #Rio""",28/06/2025 19:00,RiodeJaneiro,beach,#Copacabana#Rio,1472
182,"""Loving 'Cruel Summer'! #CruelSummer #TaylorSwift""",15/07/2025 11:15,Nashville,song,#CruelSummer#TaylorSwift,1825
183,"""Nailed the #CumbiaChallenge! #CumbiaChallenge #Dance""",08/08/2025 17:45,BuenosAires,dance,#CumbiaChallenge#Dance,1000
184,"""A delicious experience at Yurakucho Kakida ???? #FoodieAdventures #TokyoFood""",12/05/2025 18:50,Tokyo,food,"#Ramen#Tokyo#FoodieAdventures #TokyoFood""",1200
185,"""Tomorrowland was epic! #Tomorrowland #EDM""",03/07/2025 14:30,Boom,festivals,#Tomorrowland#EDM,1940
186,"""Batey Mojito and Guarapo Bar = cocktail heaven! ???? #Mixology #DrinkLocal""",25/06/2025 20:10,Tulum,place," #Mixology #DrinkLocal""",795
187,"""Pure magic with Dua Lipa on stage! ???? #FutureNostalgiaTour #DuaLipa""",20/08/2025 23:15,London,shows,"#FutureNostalgiaTour #DuaLipa""",1880
188,"""Treated myself to sushi at Yurakucho Kakida � absolutely delicious! ???? #JapaneseFood #Foodie""",22/07/2025 15:25,Tokyo,food,"#JapaneseFood #Foodie""",630
189,"""'Kill Bill' on repeat! #KillBill #SZA""",20/05/2025 9:50,NewYork,song,#KillBill#SZA,1665
190,"""Burning Man 2025! #BurningMan #Festival""",29/08/2025 0:45,BlackRockCity,festivals,#BurningMan#Festival,1710
