tweet_id,text,created_at,location,type,hashtags,likes
61,sunset at bondi beach was amazing bondibeach sydney,28/06/2025 19:32,Sydney,beach,#BondiBeach#Sydney,1478
62,loving the new song as it was asitwas harrystyles,15/07/2025 12:05,London,song,#AsItWas#HarryStyles,1725
63,dancing the cupidshuffle dance cupidshufflechallenge dance,01/08/2025 16:48,NewYork,dance,#CupidShuffleChallenge#Dance,1050
64,the best pasta i ever ate pasta italianfood osteria da fortunata,10/05/2025 18:55,Rome,food,#Pasta#ItalianFood,1234
65,having a blast at coachella coachella2025 festival,08/07/2025 11:22,Indio,festivals,#Coachella2025#Festival,1920
66,sipping mojitos at this beach bar mojito cuba el floridita bar,12/06/2025 21:10,Havana,place,#Mojito#Cuba,785
67,the taylor swift concert was epic erastour taylorswift,20/08/2025 23:00,LosAngeles,shows,#ErasTour#TaylorSwift,1850
68,loved the ramen at this spot ramen tokyo ramen tatsunoya shinjuku otakibashid ri,25/07/2025 15:18,Tokyo,food,#Ramen#Tokyo,612
69,can t stop listening to kill bill killbill sza,22/05/2025 9:35,Nashville,song,#KillBill#SZA,1608
70,partying at tomorrowland tomorrowland edm,18/06/2025 0:45,Boom,festivals,#Tomorrowland#EDM,1995
71,amazing coffe in the sawada coffee cafe coffee,02/07/2025 13:25,Chicago,place,#Cafe#Coffee,457
72,one of the best burgers out there burger fastfood truffle burger,28/05/2025 19:50,London,food,#Burger#FastFood,888
73,just learned the jigglejiggle dance jigglejigglechallenge dance,05/08/2025 10:12,Paris,dance,#JiggleJiggleChallenge#Dance,1420
74,the pizza here is incredible pizza italy piccolo buco,01/06/2025 14:37,Rome,food,#Pizza#Italy,679
75,hanging out at ipanema beach ipanema rio,29/07/2025 17:52,RiodeJaneiro,beach,#Ipanema#Rio,1182
76,such a vibe at this concert concert livemusic eminem,15/08/2025 21:40,Berlin,shows,#Concert#LiveMusic,915
77,delicious paella in casa carmela paella spain,03/05/2025 20:28,Valencia,food,#Paella#Spain,592
78,can t get enough of anti hero antihero taylorswift,10/06/2025 8:59,NewYork,song,#AntiHero#TaylorSwift,1780
79,beautiful views from the eiffel tower eiffeltower paris,08/07/2025 16:20,Paris,place,#EiffelTower#Paris,1355
80,sipping margaritas at this bar margarita mexico hunter bar cancun,20/05/2025 11:55,Cancun,place,#Margarita#Mexico,870
81,amazing sunset at copacabana beach copacabana rio,20/06/2025 18:45,RiodeJaneiro,beach,#Copacabana#Rio,1520
82,love the new song flowers flowers mileycyrus,10/07/2025 11:15,Nashville,song,#Flowers#MileyCyrus,1905
83,dancing the cumbiachallenge all night cumbiachallenge dance,05/08/2025 21:30,BuenosAires,dance,#CumbiaChallenge#Dance,872
84,just eating tacos in mexico city tacos mexicanfood taquer a orinoco,15/05/2025 19:20,MexicoCity,food,#Tacos#MexicanFood,1187
85,having fun at glastonbury glastonbury2025 festival,28/07/2025 14:50,Pilton,festivals,#Glastonbury2025#Festival,1890
86,doing shots in tulum tulum mexico taboo,25/06/2025 17:08,Tulum,place,#Tulum#Mexico,758
87,the beyonc concert was incredible renaissancetour beyonce,12/08/2025 22:52,London,shows,#RenaissanceTour#Beyonce,1788
88,slurping the best ramen at jikasei mensho tokyo ramen tokyo,22/07/2025 13:42,Tokyo,food,#Ramen#Tokyo,635
89,can t stop listening to cruel summer cruelsummer taylorswift,29/05/2025 9:55,Nashville,song,#CruelSummer#TaylorSwift,1575
90,at burning man burningman festival,30/08/2025 1:00,BlackRockCity,festivals,#BurningMan#Festival,1650
91,intelligentsia coffee at millennium park coffee perfection lattelove cafevibes,01/07/2025 15:35,Chicago,place,"#Cafe#Coffee#LatteLove #CafeVibes""",422
92,best burger ever burger fastfood bleecker burger soho,18/05/2025 20:10,London,food,#Burger#FastFood,917
93,dancing the macarena macarenachallenge dance,08/08/2025 11:47,Paris,dance,#MacarenaChallenge#Dance,1352
94,amazing pizza pizza naples l antica pizzeria da michele,05/06/2025 12:21,Naples,food,#Pizza#Naples,705
95,relaxing at waikiki beach waikiki hawaii,26/07/2025 18:15,Honolulu,beach,#Waikiki#Hawaii,1210
96,great concert last night concert livemusic eminem,18/08/2025 21:25,Berlin,shows,#Concert#LiveMusic,891
97,tasting authentic paella in valencia paella valencia puerta del mar,05/05/2025 21:02,Valencia,food,#Paella#Valencia,567
98,love kill bill killbill sza,12/06/2025 9:33,NewYork,song,#KillBill#SZA,1729
99,amazing view from the eiffel tower eiffeltower paris,11/07/2025 14:58,Paris,place,#EiffelTower#Paris,1408
100,enjoying refreshing margaritas in cancun margarita cancun coco bongo cancun,25/05/2025 12:28,Cancun,place,#Margarita#Cancun,901
101,beach day at ipanema ipanemabeach rio,25/06/2025 16:30,RiodeJaneiro,beach,#IpanemaBeach#Rio,1485
102,loving cruel summer cruelsummer taylorswift,18/07/2025 10:45,Nashville,song,#CruelSummer#TaylorSwift,1750
103,dancing the kilimanjaro kilimanjarochallenge dance,08/08/2025 20:15,Nairobi,dance,#KilimanjaroChallenge#Dance,980
104,best sushi experience at midori sushi japanesefood sushi no midori,12/05/2025 18:55,Tokyo,food,#Sushi#JapaneseFood,1212
105,at tomorrowland tomorrowland edm,05/07/2025 13:20,Boom,festivals,#Tomorrowland#EDM,1955
106,cheers from mandala beach club cancun margarita cancun mandala beach club,28/06/2025 20:00,Cancun,place,#Margarita#Cancun,820
107,saw beyonc renaissancetour beyonce,15/08/2025 23:10,London,shows,#RenaissanceTour#Beyonce,1810
108,can x92t get enough ramen at jikasei mensho tokyo ramen foodie,20/07/2025 14:38,Tokyo,food,#Ramen#Tokyo,670
109,kill bill on repeat killbill sza,20/05/2025 10:10,NewYork,song,#KillBill#SZA,1635
110,burning man vibes burningman festival,29/08/2025 0:30,BlackRockCity,festivals,#BurningMan#Festival,1700
111,savoring every sip at intelligentsia coffee millennium park coffeeaddict chicagolife,02/07/2025 11:45,Chicago,place,"#Cafe#Coffee#CoffeeAddict #ChicagoLife""",480
112,epic burger at black iron burger fastfood,25/05/2025 19:35,London,food,#Burger#FastFood,950
113,dancing the chachaslide chachaslidechallenge dance,02/08/2025 15:05,Paris,dance,#ChaChaSlideChallenge#Dance,1405
114,pizza heaven at l antica pizzeria da michele naples pizzatime naples,01/06/2025 16:12,Naples,food,#Pizza#Naples,730
115,stunning views at manly beach manlybeach sydneylife,30/07/2025 17:40,Sydney,beach,"#ManlyBeach #SydneyLife""",1250
116,amazing concert by billie eilish concert livemusic,12/08/2025 22:00,Berlin,shows,#Concert#LiveMusic,925
117,savoring authentic paella in valencia paella valencia puertadelmar,03/05/2025 20:50,Valencia,food,#Paella#Valencia,605
118,anti hero is my jam antihero taylorswift,15/06/2025 9:00,NewYork,song,#AntiHero#TaylorSwift,1785
119,eiffel tower views eiffeltower paris,08/07/2025 15:25,Paris,place,#EiffelTower#Paris,1380
120,sipping classic cocktails at el floridita bar elfloridita cocktails barvibes,18/05/2025 13:15,Havana,place,"#ElFloridita #Cocktails #BarVibes""",888
121,relaxing in the sun at kahanamoku beach kahanamokubeach beachvibes sunnydays,15/06/2025 19:20,Honolulu,beach, #BeachVibes #SunnyDays,1395
122,just listened to die with a smile x97what a track nowplaying diewithasmile musicvibes,22/07/2025 11:55,London,song,"#NowPlaying #DieWithASmile #MusicVibes""",1780
123,dancing the cupidshuffle cupidshufflechallenge dance,10/08/2025 17:30,NewYork,dance,#CupidShuffleChallenge#Dance,1025
124,savoring every slice at trieste pizza pizzalovers foodie,18/05/2025 19:45,Rome,food,"#Pizza#ItalianFood#PizzaLovers #Foodie""",1250
125,coachella was amazing coachella2025 festival,01/07/2025 14:10,Indio,festivals,#Coachella2025#Festival,1910
126,refreshing mojitos and vibrant vibes at batey mojito and guarapo bar cocktailtime barvibes,20/06/2025 18:45,Tulum,place," #CocktailTime #BarVibes""",800
127,just saw harry styles harrystyles loveontour,25/08/2025 22:15,LosAngeles,shows,#HarryStyles#LoveOnTour,1855
128,ichiran shibuya the ultimate ramen experience ramentime foodieadventures,12/07/2025 16:05,Tokyo,food," #RamenTime #FoodieAdventures""",655
129,kill bill on repeat killbill sza,25/05/2025 9:30,Nashville,song,#KillBill#SZA,1670
130,tomorrowland was epic tomorrowland edm,28/06/2025 0:15,Boom,festivals,#Tomorrowland#EDM,1985
131,starting the day right with a perfect brew at intelligentsia coffee millennium park coffeelovers chicagocafes,05/07/2025 12:50,Chicago,place,"#Cafe#Coffee#CoffeeLovers #ChicagoCafes""",440
132,juicy truffle burger perfection truffleburger foodie,22/05/2025 20:00,London,food,"#Burger#FastFood  #TruffleBurger #Foodie""",900
133,dancing the macarena macarenachallenge dance,01/08/2025 11:20,Paris,dance,#MacarenaChallenge#Dance,1388
134,trieste pizza pure pizza perfection italianeats pizzatime,08/06/2025 14:35,Rome,food,"#Pizza#Italy#ItalianEats #PizzaTime""",715
135,ipanema beach day ipanema rio,29/07/2025 17:55,RiodeJaneiro,beach,#Ipanema#Rio,1225
136,mind blowing ed sheeran x96 tour performance concert livemusic,18/08/2025 21:40,Berlin,shows,"#Concert#LiveMusic #Concert #LiveMusic""",940
137,enjoying the best paella in valencia at puerta del mar paella valencia foodie,01/05/2025 21:10,Valencia,food,#Paella#Spain,585
138,anti hero is amazing antihero taylorswift,10/06/2025 8:40,NewYork,song,#AntiHero#TaylorSwift,1755
139,eiffel tower is stunning eiffeltower paris,10/07/2025 15:15,Paris,place,#EiffelTower#Paris,1420
140,cocktail time at the iconic el floridita bar elfloridita mixology nightout,20/05/2025 12:35,Havana,place,"#ElFloridita #Mixology #NightOut""",860
141,manly beach never disappoints sydneybeaches travelaustralia,22/06/2025 17:45,Sydney,beach,"#SydneyBeaches #TravelAustralia""",1450
142,cruel summer is a bop cruelsummer taylorswift,10/07/2025 10:20,Nashville,song,#CruelSummer#TaylorSwift,1800
143,nailed the cumbiachallenge cumbiachallenge dance,01/08/2025 21:05,BuenosAires,dance,#CumbiaChallenge#Dance,950
144,cozy booths amazing ramen at ichiran shibuya ramenlovers tokyolife,15/05/2025 18:30,Tokyo,food,"#RamenLovers #TokyoLife""",1175
145,glastonbury festival glastonbury2025 festival,25/07/2025 15:15,Pilton,festivals,#Glastonbury2025#Festival,1930
146,margaritas in cancun margarita cancun,29/06/2025 19:50,Cancun,place,#Margarita#Cancun,788
147,dua lipa live was unforgettable futurenostalgiatour dualipa,18/08/2025 23:00,London,shows,"#FutureNostalgiaTour #DuaLipa""",1870
148,i had the best sushi experience at yurakucho kakida today tokyofood foodieadventures,18/07/2025 14:25,Tokyo,food,"#Sushi#JapaneseFood #TokyoFood #FoodieAdventures""",620
149,kill bill is fire killbill sza,28/05/2025 10:00,NewYork,song,#KillBill#SZA,1650
150,burning man burningman festival,28/08/2025 1:10,BlackRockCity,festivals,#BurningMan#Festival,1720
151,morning fuel done right at intelligentsia coffee millennium park cafevibes coffeetime,03/07/2025 13:40,Chicago,place,"#Cafe#Coffee#CafeVibes #CoffeeTime""",465
152,savoring every bite of this amazing truffle burger truffle burgerlovers,20/05/2025 19:55,London,food,"#Truffle #BurgerLovers""",925
153,macarena dance party macarenachallenge dance,05/08/2025 12:15,Paris,dance,#MacarenaChallenge#Dance,1410
154,pizza in naples pizza naples,03/06/2025 15:20,Naples,food,#Pizza#Naples,700
155,ipanema beach ipanema rio,31/07/2025 18:10,RiodeJaneiro,beach,#Ipanema#Rio,1200
156,unforgettable night at ed sheeran x96 tour concert musiclovers,15/08/2025 22:30,Berlin,shows,#Concert #MusicLovers,910
157,fresh flavors at gran mercat granmercat valencia foodlovers,05/05/2025 20:45,Valencia,food,"#GranMercat #Valencia #FoodLovers""",575
158,anti hero is a hit antihero taylorswift,13/06/2025 9:15,NewYork,song,#AntiHero#TaylorSwift,1770
159,eiffel tower eiffeltower paris,11/07/2025 16:00,Paris,place,#EiffelTower#Paris,1390
160,enjoying tapas and good vibes at el gato tuerto elgatotuerto valencia tapastime,19/05/2025 13:00,Havana,place, #ElGatoTuerto #Valencia #TapasTime,850
161,surf sand and sunsets at kahanamoku beach kahanamokubeach oceanlife beachday,18/06/2025 20:15,Honolulu,beach," #KahanamokuBeach #OceanLife #BeachDay""",1420
162,as it was is my jam asitwas harrystyles,25/07/2025 11:30,London,song,#AsItWas#HarryStyles,1795
163,killed the cumbiachallenge cumbiachallenge dance,05/08/2025 16:45,BuenosAires,dance,#CumbiaChallenge#Dance,985
164,tasting local delights at valencia x92s gran mercat granmercat valencia foodieadventures,10/05/2025 19:00,Valencia,food," #FoodieAdventures""",1225
165,tomorrowland was insane tomorrowland edm,01/07/2025 13:55,Boom,festivals,#Tomorrowland#EDM,1960
166,sipping the perfect mojito at batey mojito and guarapo bar mojitolovers tropicalvibes,29/06/2025 18:20,Tulum,place,"#Tulum#Mexico#MojitoLovers #TropicalVibes""",815
167,still buzzing from dua lipa x92s incredible live show futurenostalgiatour dualipa,12/08/2025 22:45,London,shows,"#FutureNostalgiaTour #DuaLipa""",1825
168,treated myself to sushi at yurakucho kakida x97 absolutely delicious japanesefood foodie,20/07/2025 15:00,Tokyo,food,"#Sushi#JapaneseFood#JapaneseFood #Foodie""",640
169,kill bill is a hit killbill sza,22/05/2025 9:45,NewYork,song,#KillBill#SZA,1680
170,burning man experience burningman festival,30/08/2025 0:50,BlackRockCity,festivals,#BurningMan#Festival,1705
171,intelligentsia coffee at millennium park coffee perfection lattelove cafevibes,03/07/2025 14:10,Chicago,place,"#Cafe#Coffee #LatteLove #CafeVibes""",475
172,treating myself to the best burgers in town at gourmet burger club covent garden foodie burgers,28/05/2025 20:25,London,food,"#Burger#FastFood #Foodie #Burgers""",935
173,macarena dance off macarenachallenge dance,02/08/2025 11:55,Paris,dance,#MacarenaChallenge#Dance,1430
174,nothing beats a fresh slice from trieste pizza pizzaaddict foodielife,05/06/2025 13:30,Rome,food,"#Pizza#Italy#PizzaAddict #FoodieLife""",720
175,ipanema beach vibes ipanema rio,30/07/2025 18:05,RiodeJaneiro,beach,#Ipanema#Rio,1240
176,ed sheeran x96 tour pure magic on stage livemusic concertexperience,18/08/2025 21:55,Berlin,shows,"#Concert#LiveMusic#LiveMusic #ConcertExperience""",905
177,valencia vibes and mediterranean bites at navarro navarro valencia,01/05/2025 21:25,Valencia,food,#Navarro #Valencia,590
178,anti hero is catchy antihero taylorswift,10/06/2025 9:05,NewYork,song,#AntiHero#TaylorSwift,1760
179,eiffel tower is beautiful eiffeltower paris,08/07/2025 15:45,Paris,place,#EiffelTower#Paris,1415
180,sipping the perfect mojito at el gato tuerto elgatotuerto cocktailvibes valencia,25/05/2025 13:20,Havana,place," #ElGatoTuerto #CocktailVibes #Valencia""",870
181,sunset at copacabana copacabana rio,28/06/2025 19:00,RiodeJaneiro,beach,#Copacabana#Rio,1472
182,loving cruel summer cruelsummer taylorswift,15/07/2025 11:15,Nashville,song,#CruelSummer#TaylorSwift,1825
183,nailed the cumbiachallenge cumbiachallenge dance,08/08/2025 17:45,BuenosAires,dance,#CumbiaChallenge#Dance,1000
184,a delicious experience at yurakucho kakida foodieadventures tokyofood,12/05/2025 18:50,Tokyo,food,"#Ramen#Tokyo#FoodieAdventures #TokyoFood""",1200
185,tomorrowland was epic tomorrowland edm,03/07/2025 14:30,Boom,festivals,#Tomorrowland#EDM,1940
186,batey mojito and guarapo bar cocktail heaven mixology drinklocal,25/06/2025 20:10,Tulum,place," #Mixology #DrinkLocal""",795
187,pure magic with dua lipa on stage futurenostalgiatour dualipa,20/08/2025 23:15,London,shows,"#FutureNostalgiaTour #DuaLipa""",1880
188,treated myself to sushi at yurakucho kakida x97 absolutely delicious japanesefood foodie,22/07/2025 15:25,Tokyo,food,"#JapaneseFood #Foodie""",630
189,kill bill on repeat killbill sza,20/05/2025 9:50,NewYork,song,#KillBill#SZA,1665
190,burning man 2025 burningman festival,29/08/2025 0:45,BlackRockCity,festivals,#BurningMan#Festival,1710
191,great vibes and even better drinks at standing passengers barlife citynights,01/07/2025 13:05,Chicago,place,"#Cafe#Coffee#BarLife #CityNights""",455
192,gourmet burger club covent garden burger heaven burgertime coventgardeneats,29/05/2025 19:45,London,food," #BurgerTime #CoventGardenEats""",915
193,macarena dance party macarenachallenge dance,02/08/2025 12:30,Paris,dance,#MacarenaChallenge#Dance,1425
194,cozy vibes and amazing pizza at trieste pizza pizzalovers foodieadventures,01/06/2025 14:15,Rome,food,"#Pizza#Italy#PizzaLovers #FoodieAdventures""",690
195,ipanema beach day ipanema rio,28/07/2025 17:50,RiodeJaneiro,beach,#Ipanema#Rio,1230
196,amazing coldplay concert concert livemusic,15/08/2025 22:00,Berlin,shows,"#Concert#LiveMusic #Concert #LiveMusic""",930
197,tasting the best of valencia x92s mediterranean cuisine at navarro navarro valencia foodlovers,03/05/2025 21:00,Valencia,food,"#Navarro #Valencia #FoodLovers""",580
198,anti hero is my jam antihero taylorswift,12/06/2025 9:25,NewYork,song,#AntiHero#TaylorSwift,1745
199,eiffel tower views eiffeltower paris,09/07/2025 16:10,Paris,place,#EiffelTower#Paris,1400
200,enjoying a signature daiquiri at bleco havana blecohavana daiquiri cocktaillovers,20/05/2025 13:45,Havana,place,"#BlecoHavana #Daiquiri #CocktailLovers""",865
201,epic sunrise at manly beach this morning manlybeach australia,20/08/2025 14:32,Sydney,place,#ManlyBeach #Australia,467
202,obsessed with the new taylor swift song x9f x8e midnightstaylor taylorswift swifties,15/07/2025 18:55,London,song,#MidnightsTaylor,23
203,the spicy mango tango at el rincon is x9f x94 spicymangotango elrincon mexicocity,01/08/2025 21:10,Mexico City,food,#SpicyMangoTango,9
204,trying the viral cumbiachallenge it s harder than it looks x9f x98 x82 cumbiachallenge dancechallenge,28/07/2025 10:45,New York,dance,#CumbiaChallenge,456
205,having a blast at coachella x9c coachella2024 coachella festival,10/05/2025 16:20,Indio,event,#Coachella2024,123
206,best brunch ever at cafe de flore x9f x90 x98 x95 x8f cafedeflore paris france,25/06/2025 9:37,Paris,place,#CafeDeFlore,456
207,can t stop listening to cruel summer on repeat x9f x8e cruelsummer taylorswift summervibes,18/06/2025 11:23,Los Angeles,song,#CruelSummer,4667
208,the line for the spicy mango tango is insane worth the wait though spicymangotango elrincon musttry,05/07/2025 19:50,Guadalajara,food,#SpicyMangoTango,578
209,just learned the cumbiachallenge so much fun cumbiachallenge dance,29/07/2025 15:30,Rio de Janeiro,dance,#CumbiaChallenge,34
210,at coachella this is amazing coachella2024 coachella musicfestival,11/08/2025 12:05,Indio,event,#Coachella2024,467
211,relaxing by the waves at manly beach beachday sydneylife,22/05/2025 17:48,Sydney,place,"#BeachDay #SydneyLife""",1523
212,loving the vibes at cafe de flore cafedeflore paris france,26/06/2025 13:12,Paris,place,#CafeDeFlore,1850
213,this spicy mango tango is addictive spicymangotango elrincon delicious,02/06/2025 14:47,Monterrey,food,#SpicyMangoTango,987
214,nailed the cumbiachallenge cumbiachallenge dancetrend,31/07/2025 20:21,Sao Paulo,dance,#CumbiaChallenge,1205
215,coachella is a dream come true x9c coachella2024 coachella festivalfun,09/07/2025 8:53,Indio,event,#Coachella2024,1900
216,anti hero is my current obsession antihero taylorswift music,19/07/2025 23:01,Toronto,song,#AntiHero,782
217,soaking up the sun at manly beach beachvibes sydney,21/06/2025 10:15,Sydney,place,#Beach,1120
218,the atmosphere at cafe de flore is amazing cafedeflore paris romantic,27/05/2025 18:38,Paris,place,#CafeDeFlore,567
219,spicy mango tango is a must try spicymangotango elrincon foodrecommendation,03/08/2025 16:02,Tijuana,food,#SpicyMangoTango,1600
220,still practicing the cumbiachallenge almost got it cumbiachallenge dancepractice,01/08/2025 13:56,Buenos Aires,dance,#CumbiaChallenge,2000
221,loving the new as it was by harry styles asitwas harrystyles music,26/07/2025 10:34,London,song,#AsItWas,345
222,just had the best ramen at ichiran ichiranramen tokyo ramen,01/06/2025 18:55,Tokyo,food,#IchiranRamen,876
223,sunset at the cliffs of moher was breathtaking cliffsofmoher ireland travel,15/07/2025 15:22,Doolin,place,#CliffsOfMoher,1432
224,nailed the jigglejiggledance today jigglejiggledance tiktokdance,29/06/2025 12:48,New York,dance,#JiggleJiggleDance,654
225,having so much fun at carnival carnival riodejaneiro brazil,08/06/2025 21:11,Rio de Janeiro,event,#Carnival,1189
226,the matcha latte at tsujiri is amazing tsujiri kyoto matcha,21/07/2025 9:07,Kyoto,food,#Tsujiri,901
227,as it was is stuck in my head all day asitwas harrystyles popmusic,28/07/2025 17:33,Los Angeles,song,#AsItWas,456
228,ichiran ramen is a must try in tokyo ichiranramen tokyofood ramenlover,05/06/2025 14:19,Tokyo,food,#IchiranRamen,1785
